45995.480769230766, 24.78897 
45995.480769230766, 24.78897 
78797.14285714286, 12.28146 
78797.14285714286, 12.28146 
95519.55882352941, 9.088684, 9.088684000000114, -0.0069033148056050295, 0.0012725730097730697, -2.749795254962259e-06, [{ T: 9.088684, R: 95519.55882352941 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
92633.42939481269, 9.859467, 9.555593646949376, -0.0069033148056050295, 0.0012725730097730697, -2.749795254962259e-06, [{ T: 9.088684, R: 95519.55882352941 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
95941.59292035399, 8.834839, 8.834838999999988, -0.005603944895048775, 0.0010953328613006273, -2.26211243863243e-06, [{ T: 8.834839, R: 95941.59292035399 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
98967.01807228915, 8.322205, 8.322204999999997, -0.00548853136456246, 0.0010795899145747282, -2.218795139122208e-06, [{ T: 8.322205, R: 98967.01807228915 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
100753.81097560975, 7.934662, 7.934662000000003, -0.004926231338361977, 0.0010028895544077247, -2.007751264570431e-06, [{ T: 7.934662, R: 100753.81097560975 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
101663.65030674846, 7.898376, 7.898376000000098, -0.005462536429956538, 0.0010760440836056913, -2.209038654216768e-06, [{ T: 7.898376, R: 101663.65030674846 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
102122.76923076923, 7.802887, 7.802887000000055, -0.005335158181057871, 0.0010586690931864546, -2.1612307261915065e-06, [{ T: 7.802887, R: 102122.76923076923 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
103049.53560371517, 7.663513, 7.663513000000023, -0.005334869964591345, 0.0010586297791089897, -2.1611225520549767e-06, [{ T: 7.663513, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
103049.53560371517, 7.64621, 7.646209999999996, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
103049.53560371517, 7.672485, 7.646209999999996, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
103049.53560371517, 7.672485, 7.646209999999996, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
103049.53560371517, 7.672729, 7.646209999999996, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
103049.53560371517, 7.681702, 7.646209999999996, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
102122.76923076923, 7.933136, 7.786282566463683, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
100753.81097560975, 8.173645, 7.997563961680044, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
99409.66767371602, 8.614014, 8.210251473685048, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
98527.02702702703, 8.919159, 8.352824075822923, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
97654.92537313433, 8.919159, 8.496021432517807, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
97222.76785714286, 9.19342, 8.567854436385687, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
96366.12426035503, 9.421783, 8.711989247682766, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
95519.55882352941, 9.654785, 8.85674942226234, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
94682.8947368421, 9.873291, 9.0021354150104, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
94268.22157434402, 9.873291, 9.075063267634732, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
93446.08695652174, 10.08429, 9.221389097928352, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
93038.5838150289, 10.29092, 9.294787262181444, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
92230.60344827586, 10.44135, 9.442054608643616, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
91830.08595988539, 10.58148, 9.515924019850218, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
91035.89743589744, 10.58148, 9.66413494287417, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
90642.1875, 10.75949, 9.738476725223677, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
89861.44067796611, 10.98633, 9.887633659059134, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
89474.3661971831, 10.98633, 9.962449121798784, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
89089.46629213484, 11.3056, 10.037422800419222, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
88706.72268907563, 11.50238, 10.112554867231268, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
87947.63231197772, 11.66763, 10.263294887650773, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
87196.95290858726, 11.91211, 10.414670692925597, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
86824.72375690608, 11.91211, 10.490597515154263, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
86086.4010989011, 12.13626, 10.64293005566401, -0.005254369891252053, 0.0010476491916451853, -2.1309090599909207e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.28146, R: 78797.14285714286 }, { T: 24.78897, R: 45995.480769230766 }] 
85356.14754098361, 12.32913, 12.329130000000134, 0.008076927213815447, -0.0007506099739624217, 2.697450688270244e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.32913, R: 85356.14754098361 }, { T: 24.78897, R: 45995.480769230766 }] 
84994.00544959128, 12.54092, 12.540920000000142, 0.009016702581733045, -0.0008773763085246971, 3.0378206855104842e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.54092, R: 84994.00544959128 }, { T: 24.78897, R: 45995.480769230766 }] 
84633.83152173914, 12.54092, 12.643647520292006, 0.009016702581733045, -0.0008773763085246971, 3.0378206855104842e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.54092, R: 84994.00544959128 }, { T: 24.78897, R: 45995.480769230766 }] 
84275.60975609756, 12.6864, 12.686400000000049, 0.008524725755764082, -0.0008110135360508218, 2.8596353907965226e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.6864, R: 84275.60975609756 }, { T: 24.78897, R: 45995.480769230766 }] 
83564.95956873316, 12.80881, 12.808809999999937, 0.007886139583962877, -0.0007248746234287872, 2.6283507870988754e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.80881, R: 83564.95956873316 }, { T: 24.78897, R: 45995.480769230766 }] 
83564.95956873316, 12.95053, 12.950529999999844, 0.009023202537548921, -0.0008782530878080496, 3.040174854409391e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 12.95053, R: 83564.95956873316 }, { T: 24.78897, R: 45995.480769230766 }] 
82861.93029490617, 13.06955, 13.069549999999936, 0.008372383930096209, -0.0007904641414830183, 2.804459879123936e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 13.06955, R: 82861.93029490617 }, { T: 24.78897, R: 45995.480769230766 }] 
82166.4, 13.19406, 13.194059999999979, 0.0078053309868115015, -0.0007139743487336778, 2.5990833441243406e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 13.19406, R: 82166.4 }, { T: 24.78897, R: 45995.480769230766 }] 
81478.24933687002, 13.36627, 13.366269999999929, 0.007629030592922713, -0.0006901931820015798, 2.535230463287138e-06, [{ T: 7.64621, R: 103049.53560371517 }, { T: 13.36627, R: 81478.24933687002 }, { T: 24.78897, R: 45995.480769230766 }] 
